context_type,count
"Brandgrop, omarkerad",2
Syllstensgrund,2
Kol- och sotfläck,2
Brandflak,2
Parcellavgränsning,2
Grupsystem,2
Lergolv,2
Underliggare,2
"Stenkrets, rund",2
Tegelvägg,2
A623,2
"Röjningsröse, ceremoniellt",2
Körväg,2
Härdgrop/ugn,2
Fyndområde,2
Stenvall,2
Kistträ,2
Ekstock,2
Säddepå,2
Okstock,2
Järnframstlällningsplats,2
Skeppstimmer,2
"Stensätning, rundad",2
Hyttanläggning,2
"Stensättning, rundoval",2
Fyllning,2
Kvartskoncentration,2
Spisfundament,2
Liggmila?,2
Dös,2
"Stensättning, stenkista",2
Matberedningsgrop,2
Gränsdike,2
Ruta,2
Kulthus,2
Färgning,2
Spis,2
Avfallsanläggning,2
Strandmur,2
Räna,2
Stenröjd yta,2
Katsa,2
Siltlager,2
Klockgjutargrop,2
Slaggfundament,2
Byggkonstruktion,2
Drev,2
Härdflak,2
Fasad,2
Fundamentsgrop,2
Kultur/benlager,2
Skärvstenskoncentratioin,2
Hus,2
Dammvall,2
Ploglager,2
"Srtensättning, rund",2
Stolprest,2
Bäckfård,2
Vändrost,2
Vägkant,2
Avfallshög,2
Björk,2
Kista,2
Igenfyllnadslager,2
"Rest sten, domarring",2
"Stensättning, friliggande kantkedja",2
Golvbjälke,2
Provruta,2
"Västergården, Bona 3:1",2
Avfallsdeponi,2
Keramik/kolkoncentration,2
Malmlager,2
"Stensättning, Röseliknande",2
Mörkfärgning/kulturlager,2
Fångstanläggning,2
Småstenspackning,2
Hörd,2
Stolpål,2
Markyta,2
Skelettfynd,2
Vägfyllning,2
Tjärframställningsgrop,2
"Dike, fyllning",2
Brunn?,2
"Stensättning, ofylld",2
Kremeringsplats,2
Avfallsbinge,2
Kolsträng,2
Sot/kolskikt,2
Skärvstenkoncentration,2
Trästör,2
Hus 53,2
Nedgrävning/förvaringsgrop,2
Träkista,2
Bakugn,2
Störning,2
Stenskonstruktion,2
Sättsandslager,2
Björngrav,2
Kåtatomt med jordvall,2
Kåtaplats med jordvall,2
Kåtaplats,2
Täktsystem,2
Benkocentration,2
Arbetsyta,2
Linrötningsgrop,2
Bryggfäste,2
Trossbotten,2
Kolanläggning,2
Varp,2
Fundamentsdike,2
"Stenkonstruktion, komplec",2
Dammanlägning,2
Ankare,2
Gatubeläggning,2
Brandhorisont,2
"Stenröse, komplext",2
"Röjningsröse, kvadratiskt",2
Ugnsfundament,2
Sotkoncentration,2
Golvplank,2
Rotvälta,2
Ränna/stolphål,2
Hassel,2
Mittblockgrav,2
Träplugg från kyrkvind,2
Grop/brunn,2
Röjningsrösen,2
Stensättnig,2
Jordvall,2
A1,2
Rostjord,2
Bäckfåra,2
Härd/brandgrav,2
pkänd,2
Härd/ugn,2
Kvartsbrott,2
Nedgrävning/ässja,2
"Klumpsten, skelettgrav",2
"Klumpsten, brandgrop",2
"Klumpsten, urnebrandgrop",2
Hörnstolpe,2
Plundringsgrop,2
Röjd yta,2
Stenkoncentration,2
Klumpsten,2
Flintgruva,2
Vallanläggning,2
Pålanläggning,2
Kogg,2
Vägyta,2
Gärdsgårdsstör,2
Skeklettgrav,2
"Stensamling, rektangulär",2
Gravbål,2
Grav övrig,2
Sädesförråd,2
Bendepå,2
'Härd,2
Röjningsröse/röjstensvall,2
Källarfrop,1
Slagguppsamlingsgrop,1
Brad/sotlager,1
"Stenkistgrav, rektangulär",1
Flatmarksgrav/skelettgrav,1
okgrop,1
Väglager,1
Avfallslagr,1
Gatulager,1
Rislager,1
Naturligt sediment,1
Varggrop,1
Pilbåge,1
"Lager, sättsand",1
Stolphåål,1
"Stesättning, oregelbunden",1
Gravgrop,1
Fynddepå,1
Kokgrpop,1
Lerugn,1
Ränna/dike,1
Stenlager,1
Spismusrsröse,1
Ugnsbotten,1
Källarmur,1
Kåtatomt,1
Kolningsränna,1
Materialtäkt,1
Stolpyhål,1
Räääänna,1
Ojkänd,1
Fynsplats,1
