species_split,match_level,genus,family,order,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english
förkolnade rottrådar,,,,,,,,,,,,,,
linfrö,,,,,,,,,,,,,,
starr,"genus (suffix, ambiguous)",,,,,,,,,,,,,
lin,species (common name),Linum,Linaceae,Malpighiales,lin,Linum usitatissimum,Plantae,2873861,Linum usitatissimum,SPECIES,EXACT,99,https://www.gbif.org/species/2873861,Common Flax
pomoideae,,,,,,,,,,,,,,
svinmålla,species (common name),Chenopodium,Chenopodiaceae,Caryophyllales,svinmålla,Chenopodium album var album,Plantae,7219474,Chenopodium album album,VARIETY,EXACT,100,https://www.gbif.org/species/7219474,Lambsquarters
revormstörel,species (common name),Euphorbia,Euphorbiaceae,Malpighiales,revormstörel,Euphorbia helioscopia,Plantae,3066367,Euphorbia helioscopia,SPECIES,EXACT,99,https://www.gbif.org/species/3066367,Madwoman's Milk
tallbark,,,,,,,,,,,,,,
granbarr,,,,,,,,,,,,,,
enbär,"genus (suffix, ambiguous)",,,,,,,,,,,,,
bärris,,,,,,,,,,,,,,
alm,"genus (suffix, ambiguous)",,,,,,,,,,,,,
hallon,species (common name),Rubus,Rosaceae,Rosales,hallon,Rubus idaeus,Plantae,2993094,Rubus idaeus,SPECIES,EXACT,99,https://www.gbif.org/species/2993094,American Red Raspberry
männinska,animal (common name),,,,männinska,Homo sapiens,Animalia,2436436,Homo sapiens,SPECIES,EXACT,100,https://www.gbif.org/species/2436436,Human
prunus sp,genus (latin),Prunus,Rosaceae,Rosales,,,Plantae,3020559,Prunus,GENUS,HIGHERRANK,95,https://www.gbif.org/species/3020559,"Almond, Cherry, Plum"
mjölon,species (common name),Arctostaphylos,Ericaceae,Ericales,mjölon,Arctostaphylos uva-ursi,Plantae,2882580,Arctostaphylos uva-ursi,SPECIES,EXACT,100,https://www.gbif.org/species/2882580,Bear-grape
askl,,,,,,,,,,,,,,
alkotte,,,,,,,,,,,,,,
cereralia,,,,,,,,,,,,,,
småsnärja,,,,,,,,,,,,,,
vaccinium sp,genus (latin),Vaccinium,Ericaceae,Ericales,,,Plantae,2882813,Vaccinium,GENUS,EXACT,96,https://www.gbif.org/species/2882813,Bilberries
cf quercus sp,genus (latin),Quercus,Fagaceae,Fagales,,,Plantae,2877951,Quercus,GENUS,EXACT,96,https://www.gbif.org/species/2877951,Acorn
barrträd,,,,,,,,,,,,,,
ört,"genus (suffix, ambiguous)",,,,,,,,,,,,,
fårtand,,,,,,,,,,,,,,
cerealia,genus (latin),Cerealia,Cerealia,Cerealia,,,Plantae,6,Plantae,KINGDOM,HIGHERRANK,99,https://www.gbif.org/species/6,Plants
läder,,,,,,,,,,,,,,
pomoidea,,,,,,,,,,,,,,
halmstrå,,,,,,,,,,,,,,
kottefjäll,,,,,,,,,,,,,,
kubbvete,,,,,,,,,,,,,,
hasselnöt,,,,,,,,,,,,,,
säd,,,,,,,,,,,,,,
cf alnus sp,genus (latin),Alnus,Betulaceae,Fagales,,,Plantae,2876099,Alnus,GENUS,EXACT,95,https://www.gbif.org/species/2876099,Alder
populus sp,genus (latin),Populus,Salicaceae,Salicales,,,Plantae,3040183,Populus,GENUS,EXACT,96,https://www.gbif.org/species/3040183,"Aspen, Cottonwood, Poplar"
knylhavre,species (common name),Arrhenatherum,Poaceae,Poales,knylhavre,Arrhenatherum elatius ssp elatius,Plantae,9781113,Arrhenatherum elatius elatius,SUBSPECIES,EXACT,100,https://www.gbif.org/species/9781113,False Oat-grass
stamknöl,,,,,,,,,,,,,,
pärlhavre,species (common name),Arrhenatherum,Poaceae,Poales,pärlhavre,Arrhenatherum elatius ssp bulbosus,Plantae,7987633,Arrhenatherum elatius bulbosum,SUBSPECIES,FUZZY,96,https://www.gbif.org/species/7987633,Tall Oatgrass
tibast,species (common name),Daphne,Thymelaeaceae,Malvales,tibast,Daphne mezereum,Plantae,5420852,Daphne mezereum,SPECIES,EXACT,99,https://www.gbif.org/species/5420852,February Daphne
