species_split,match_level,genus,family,order,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english
råglosta,species (common name),Bromus,Poaceae,Poales,råglosta,Bromus secalinus,Plantae,2703717,Bromus secalinus,SPECIES,EXACT,99,https://www.gbif.org/species/2703717,Cheat
grässtrån,,,,,,,,,,,,,,
hörntand,,,,,,,,,,,,,,
nörkreatur,animal (common name),,,,nörkreatur,Bos taurus,Animalia,2441022,Bos taurus,SPECIES,EXACT,100,https://www.gbif.org/species/2441022,Aurochs
fiskben,,,,,,,,,,,,,,
rhizom,,,,,,,,,,,,,,
alknopp,,,,,,,,,,,,,,
strå och örtfragment,,,,,,,,,,,,,,
granbar,,,,,,,,,,,,,,
örtdelar,,,,,,,,,,,,,,
basstamdelar,,,,,,,,,,,,,,
rotttrådar,,,,,,,,,,,,,,
pollen,,,,,,,,,,,,,,
hästböna,,,,,,,,,,,,,,
spelvete,,,,,,,,,,,,,,
granbark,,,,,,,,,,,,,,
sorbus sp,genus (latin),Sorbus,Rosaceae,Rosales,,,Plantae,3012146,Sorbus,GENUS,EXACT,96,https://www.gbif.org/species/3012146,Mountain Ashes
lindbark,,,,,,,,,,,,,,
koprolit,,,,,,,,,,,,,,
okänt ursprung,,,,,,,,,,,,,,
ogräs,,,,,,,,,,,,,,
cf hordeum sp,genus (latin),Hordeum,Poaceae,Poales,,,Plantae,2706050,Hordeum,GENUS,EXACT,96,https://www.gbif.org/species/2706050,Barley
harts eller träkol,,,,,,,,,,,,,,
gröt,,,,,,,,,,,,,,
smörblomma,species (common name),Ranunculus,Ranunculaceae,Ranunculales,smörblomma,Ranunculus acris ssp acris,Plantae,7277719,Ranunculus acris acris,SUBSPECIES,EXACT,100,https://www.gbif.org/species/7277719,tall buttercup
dån,"genus (suffix, ambiguous)",,,,,,,,,,,,,
starr nöt,,,,,,,,,,,,,,
djurben,,,,,,,,,,,,,,
barr,,,,,,,,,,,,,,
ötkreatur,animal (common name),,,,ötkreatur,Bos taurus,Animalia,2441022,Bos taurus,SPECIES,EXACT,100,https://www.gbif.org/species/2441022,Aurochs
salix,genus (latin),Salix,Salicaceae,Salicales,,,Plantae,3039576,Salix,GENUS,EXACT,95,https://www.gbif.org/species/3039576,Sallow
vildapel,species (common name),Malus,Rosaceae,Rosales,vildapel,Malus sylvestris,Plantae,3001509,Malus sylvestris,SPECIES,EXACT,99,https://www.gbif.org/species/3001509,Crab Apple
stamdelar ört,,,,,,,,,,,,,,
vikaresäl,animal (common name),,,,vikaresäl,Pusa hispida,Animalia,5219369,Pusa hispida,SPECIES,EXACT,100,https://www.gbif.org/species/5219369,Arctic Ringed Seal
samt träkol,,,,,,,,,,,,,,
äppelkärna,,,,,,,,,,,,,,
syska,"genus (suffix, ambiguous)",,,,,,,,,,,,,
örtstam och rot,,,,,,,,,,,,,,
höna,animal (common name),,,,höna,Gallus gallus domesticus,Animalia,9457155,Gallus gallus domesticus,FORM,EXACT,99,https://www.gbif.org/species/9457155,Domestic Chicken
mossa,,,,,,,,,,,,,,
sotig jord,,,,,,,,,,,,,,
kotefjjäl,,,,,,,,,,,,,,
brända matrester,,,,,,,,,,,,,,
kalkbruk,,,,,,,,,,,,,,
textil,,,,,,,,,,,,,,
rotfilt örtstam,,,,,,,,,,,,,,
rot,"genus (suffix, ambiguous)",,,,,,,,,,,,,
naket kor,,,,,,,,,,,,,,
stjälkar förkolnad,,,,,,,,,,,,,,
strån,,,,,,,,,,,,,,
rottråd,,,,,,,,,,,,,,
måra,"genus (suffix, ambiguous)",,,,,,,,,,,,,
vial,genus (suffix-inferred),Lathyrus,Fabaceae,Fabales,,,Plantae,10356062,Lathyrus,GENUS,EXACT,96,https://www.gbif.org/species/10356062,Pea
bjrök,,,,,,,,,,,,,,
kornell,genus (suffix-inferred),Cornus,Cornaceae,Cornales,,,Plantae,3082226,Cornus,GENUS,EXACT,96,https://www.gbif.org/species/3082226,Dogwood
svinbete,,,,,,,,,,,,,,
cf cerealia,genus (latin),Cerealia,Cerealia,Cerealia,,,Plantae,6,Plantae,KINGDOM,HIGHERRANK,99,https://www.gbif.org/species/6,Plants
svalört,species (common name),Ranunculus,Ranunculaceae,Ranunculales,svalört,Ranunculus ficaria ssp ficaria,Plantae,8204202,Ranunculus ficaria ficaria,SUBSPECIES,EXACT,100,https://www.gbif.org/species/8204202,
cf hordeum vulgare,,,,,,,,,,,,,,
hordeum sp,genus (latin),Hordeum,Poaceae,Poales,,,Plantae,2706050,Hordeum,GENUS,EXACT,96,https://www.gbif.org/species/2706050,Barley
indet,,,,,,,,,,,,,,
idisslare,,,,,,,,,,,,,,
sol-fraktion,,,,,,,,,,,,,,
hästspillning,,,,,,,,,,,,,,
hjortron,species (common name),Rubus,Rosaceae,Rosales,hjortron,Rubus chamaemorus,Plantae,2998290,Rubus chamaemorus,SPECIES,EXACT,99,https://www.gbif.org/species/2998290,Bake-apple
björkl,,,,,,,,,,,,,,
tjärat nöthår,,,,,,,,,,,,,,
örtstjälkar,,,,,,,,,,,,,,
männska,animal (common name),,,,männska,Homo sapiens,Animalia,2436436,Homo sapiens,SPECIES,EXACT,100,https://www.gbif.org/species/2436436,Human
ostron,animal (common name),,,,ostron,Ostrea edulis,Animalia,2286060,Ostrea edulis,SPECIES,EXACT,100,https://www.gbif.org/species/2286060,Edible oyster
sorbus,genus (latin),Sorbus,Rosaceae,Rosales,,,Plantae,3012146,Sorbus,GENUS,EXACT,96,https://www.gbif.org/species/3012146,Mountain Ashes
gåsört,species (common name),Argentina,Rosaceae,Rosales,gåsört,Argentina anserina ssp anserina,Plantae,7272211,Argentina anserina anserina,SUBSPECIES,EXACT,100,https://www.gbif.org/species/7272211,Silverweed Cinquefoil
kvistspetsar,,,,,,,,,,,,,,
ek bulk,,,,,,,,,,,,,,
torsk,animal (common name),,,,torsk,Gadus morhua,Animalia,8084280,Gadus morhua,SPECIES,EXACT,100,https://www.gbif.org/species/8084280,Atlantic Cod
linfiber,,,,,,,,,,,,,,
stor igelknopp,,,,,,,,,,,,,,
vattenstäkra,species (common name),Oenanthe,Apiaceae,Apiales,vattenstäkra,Oenanthe aquatica,Plantae,5371888,Oenanthe aquatica,SPECIES,EXACT,99,https://www.gbif.org/species/5371888,Fine-Leaved Water-Dropwort
åkerbinda,species (common name),Fallopia,Polygonaceae,Caryophyllales,åkerbinda,Fallopia convolvulus,Plantae,6391461,Fallopia convolvulus,SPECIES,EXACT,100,https://www.gbif.org/species/6391461,Black Bindweed
skräppa,genus (suffix-inferred),Rumex,Polygonaceae,Caryophyllales,,,Plantae,2888942,Rumex,GENUS,EXACT,96,https://www.gbif.org/species/2888942,Dock
brännässla,species (common name),Urtica,Urticaceae,Rosales,brännässla,Urtica dioica ssp dioica var dioica,Plantae,7300700,Urtica dioica dioica,VARIETY,EXACT,100,https://www.gbif.org/species/7300700,
hampa,species (common name),Cannabis,Cannabaceae,Rosales,hampa,Cannabis sativa,Plantae,5361880,Cannabis sativa,SPECIES,EXACT,100,https://www.gbif.org/species/5361880,Grass
kornhalm,,,,,,,,,,,,,,
cf avena sp,genus (latin),Avena,Poaceae,Poales,,,Plantae,2705282,Avena,GENUS,HIGHERRANK,95,https://www.gbif.org/species/2705282,Oat
enfrön,,,,,,,,,,,,,,
enbark,,,,,,,,,,,,,,
skogskornell,species (common name),Cornus,Cornaceae,Cornales,skogskornell,Cornus sanguinea,Plantae,3082234,Cornus sanguinea,SPECIES,EXACT,99,https://www.gbif.org/species/3082234,Bloodtwig dogwood
löbträd,,,,,,,,,,,,,,
sik,animal (common name),,,,sik,Coregonus lavaretus,Animalia,2351211,Coregonus lavaretus,SPECIES,EXACT,100,https://www.gbif.org/species/2351211,Bourget Whitefish
nypon,,,,,,,,,,,,,,
oförkolnat material,,,,,,,,,,,,,,
hår,,,,,,,,,,,,,,
tagel,,,,,,,,,,,,,,
åkerpilört,species (common name),Persicaria,Polygonaceae,Caryophyllales,åkerpilört,Persicaria maculosa ssp maculosa,Plantae,7291447,Persicaria maculosa maculosa,VARIETY,EXACT,96,https://www.gbif.org/species/7291447,
tänder,,,,,,,,,,,,,,
hägg,species (common name),Prunus,Rosaceae,Rosales,hägg,Prunus padus ssp padus,Plantae,8006007,Prunus padus padus,SUBSPECIES,EXACT,100,https://www.gbif.org/species/8006007,
ramslök,species (common name),Allium,Araliaceae,Apiales,ramslök,Allium ursinum,Plantae,2857601,Allium ursinum,SPECIES,EXACT,100,https://www.gbif.org/species/2857601,
örtstjälk,,,,,,,,,,,,,,
ull,"genus (suffix, ambiguous)",,,,,,,,,,,,,
bivax,,,,,,,,,,,,,,
bergssyra,,,,,,,,,,,,,,
stål,,,,,,,,,,,,,,
hästtand,,,,,,,,,,,,,,
växtdelar ört,,,,,,,,,,,,,,
makrofossil,,,,,,,,,,,,,,
palsternacka,species (common name),Pastinaca,Apiaceae,Apiales,palsternacka,Pastinaca sativa var sativa,Plantae,7508930,Pastinaca sativa sativa,VARIETY,EXACT,100,https://www.gbif.org/species/7508930,Wild Parsnip
svinmålla (frö),,,,,,,,,,,,,,
tiggarranunkel,species (common name),Ranunculus,Ranunculaceae,Ranunculales,tiggarranunkel,Ranunculus scleratus,Plantae,9065081,Ranunculus scleratus,SPECIES,EXACT,100,https://www.gbif.org/species/9065081,
brudberöd,,,,,,,,,,,,,,
maloidear,,,,,,,,,,,,,,
ceerealia indet,,,,,,,,,,,,,,
nötkrestur,animal (common name),,,,nötkrestur,Bos taurus,Animalia,2441022,Bos taurus,SPECIES,EXACT,100,https://www.gbif.org/species/2441022,Aurochs
häst eller nötkreatur,,,,,,,,,,,,,,
lamm,animal (common name),,,,lamm,Ovis aries,Animalia,2441110,Ovis aries,SPECIES,EXACT,99,https://www.gbif.org/species/2441110,Domestic Sheep
amulettring,,,,,,,,,,,,,,
aborrskinn,animal (common name),,,,aborrskinn,Perca fluviatilis,Animalia,8140485,Perca fluviatilis,SPECIES,EXACT,100,https://www.gbif.org/species/8140485,Eurasian perch
staeefrukter,,,,,,,,,,,,,,
ekl,,,,,,,,,,,,,,
textilfragment,,,,,,,,,,,,,,
nötfiber,,,,,,,,,,,,,,
agn,,,,,,,,,,,,,,
cf betula sp,genus (latin),Betula,Betulaceae,Fagales,,,Plantae,2875008,Betula,GENUS,HIGHERRANK,95,https://www.gbif.org/species/2875008,Birch
cyperaceae,genus (latin),Cyperaceae,Cyperaceae,Poales,,,Plantae,7708,Cyperaceae,FAMILY,EXACT,96,https://www.gbif.org/species/7708,Sedge
snöre,,,,,,,,,,,,,,
haver,,,,,,,,,,,,,,
