manual_species,count,match_level,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english,contributing_species_split,latin_text,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,resolved_order,resolved_order_is_new,resolved_family,resolved_family_is_new,resolved_genus,resolved_genus_is_new,resolved_species,resolved_scientific_name,taxon_id,taxon_id_is_new,matched_existing_taxon,common_name_id,common_name_id_is_new,common_name_text,common_name_language,taxonomy_changes_needed,needs_manual_review,review_reason
cf salix sp,936,genus (latin),,,Plantae,3039576.0,Salix,GENUS,EXACT,95.0,https://www.gbif.org/species/3039576,Sallow,"cf salix sp, salix, salix sp",salix,,carried-over (species_split_taxa_gbif_matches.csv),Salix,Salicaceae,Malpighiales,Plantae,Salix,Salicales,False,Salicaceae,False,Salix,False,sp.,Salix sp.,18215,False,True,4278,True,Sallow,1,new English common name 'Sallow',False,
cerealia,844,genus (latin),,,Plantae,6.0,Plantae,KINGDOM,HIGHERRANK,99.0,https://www.gbif.org/species/6,Plants,"ceerealia indet, ceralia, cerealia, cerealia frag, cerealia idet, cerealia indet, cerealia sp, cerealis indet, cerelia indet, cereralia, cf cerealia, crerealia indet, halm, halmstrå, sädeskorn",cerealia,,carried-over (species_split_taxa_gbif_matches.csv),,,,Plantae,Cerealia,Cerealia,False,Cerealia,False,Cerealia,False,indet.,Cerealia indet.,17995,False,True,4279,True,Plants,1,new English common name 'Plants',False,
plant indet?,804,,,,,,,,,,,,"baljfragment, ev. harts, frökapsel, fröskal, förkolnad ört, förkolnade rottrådar, gräs, grässtrå, grässtrån, gröt, harts, harts eller träkol, lid, löbträd, lövträ, lövträd, pollen, rhizom, rot, rotfilt, rotfilt örtstam, rotfragment, rotknöl, rottråd, rottrådar, rotttrådar, samt träkol, starr nöt, strå och örtfragment, träkol, växtdelar ört, ört, örtdelar, örtfragment, örtstam, örtstam och rot, örtstjälk, örtstjälkar",plant,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
indet?,610,,,,,,,,,,,,"förkolnad, förkolnade, indet, kotefjjäl, kottefjäll, kvist, kvistspetsar, obestämt, obränd, oförkolnat material, oid, oid., okänt ursprung, organisk massa, ospec, ospec., smidesloppor, snöre, sot i keramik, sotig jord, stamdelar ört, stjälkar förkolnad, strå, strån, terrest, textil, textilfragment, torne, tågvirke",indet,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
däggdjur?,551,animal (common name),nörkreatur,Bos taurus,Animalia,2441022.0,Bos taurus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2441022,Aurochs,"däggdjur, däggfjur, hovdjur, hår, litet däggdjur, nörkreatur, nöt, nötboskap, nötfiber, nöthår, nötkreatur, nötkrestur, stor gräsätare, större däggdjur, tagel, ötkreatur",däggdjur,,carried-over (species_split_taxa_gbif_matches.csv),Bos,Bovidae,Artiodactyla,Animalia,Bos taurus,Artiodactyla,True,Bovidae,True,Bos,True,taurus,Bos taurus,47011,True,False,4280,True,däggdjur,2,new order 'Artiodactyla'; new family 'Bovidae'; new genus 'Bos'; new taxon 'Bos taurus' (author_id NULL); new Swedish common name 'däggdjur',True,marked uncertain ('?') in the manual mapping
ask,374,species (common name),ask,Fraxinus excelsior,Plantae,3172358.0,Fraxinus excelsior,SPECIES,EXACT,99.0,https://www.gbif.org/species/3172358,Ash,"ask, askl",ask,,carried-over (species_split_taxa_gbif_matches.csv),Fraxinus,Oleaceae,Lamiales,Plantae,Fraxinus excelsior,Lamiales,False,Oleaceae,False,Fraxinus,False,excelsior,Fraxinus excelsior,47014,True,False,4281,True,ask,2,new taxon 'Fraxinus excelsior' (author_id NULL); new Swedish common name 'ask',False,
en,349,species (common name),en,Juniperus communis ssp communis,Plantae,6319348.0,Juniperus communis communis,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/6319348,Common Juniper,"en, enbark, enbär, enfrön, enkorn, enmöjl gran",en,,carried-over (species_split_taxa_gbif_matches.csv),Juniperus,Cupressaceae,Pinales,Plantae,Juniperus communis ssp communis,Pinales,False,Cupressaceae,False,Juniperus,False,communis ssp communis,Juniperus communis ssp communis,1880,False,True,1510,False,en,2,,False,
matskorpa?,325,,,,,,,,,,,,"matskopa, matskorpa, matskorpa (ins), matskorpa (sol)",matskorpa,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
asp,320,species (common name),asp,Populus tremula,Plantae,3040249.0,Populus tremula,SPECIES,EXACT,100.0,https://www.gbif.org/species/3040249,Aspen,asp,asp,,carried-over (species_split_taxa_gbif_matches.csv),Populus,Salicaceae,Malpighiales,Plantae,Populus tremula,Salicales,False,Salicaceae,False,Populus,False,tremula,Populus tremula,47015,True,False,4282,True,asp,2,new taxon 'Populus tremula' (author_id NULL); new Swedish common name 'asp',False,
emmervete,278,species (common name),emmervete,Triticum turgidum,Plantae,2706406.0,Triticum turgidum,SPECIES,EXACT,99.0,https://www.gbif.org/species/2706406,Rivet Wheat,"emme, emmer, emmervete, spelt- emmervete",emmervete,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum turgidum,Poales,False,Poaceae,False,Triticum,False,turgidum,Triticum turgidum,47016,True,False,4283,True,emmervete,2,new taxon 'Triticum turgidum' (author_id NULL); new Swedish common name 'emmervete',False,
